#i E KE PE T P
7.435325 -4.227638 1.659698 -5.887337 120.000000 0.046652
7.453198 -4.234841 1.659698 -5.894539 120.000000 0.046680
7.471072 -4.252409 1.659698 -5.912107 120.000000 0.046700
7.488945 -4.280921 1.659698 -5.940620 120.000000 0.046708
7.506819 -4.319442 1.659698 -5.979140 120.000000 0.046699
7.524692 -4.365057 1.659698 -6.024755 120.000000 0.046672
7.542565 -4.410295 1.659698 -6.069994 120.000000 0.046627
7.560439 -4.444400 1.659698 -6.104099 120.000000 0.046567
7.578312 -4.458130 1.659698 -6.117829 120.000000 0.046501
7.596185 -4.447196 1.659698 -6.106894 120.000000 0.046438
7.614059 -4.415799 1.659698 -6.075498 120.000000 0.046384
7.631932 -4.381055 1.659698 -6.040754 120.000000 0.046342
7.649806 -4.360261 1.659698 -6.019959 120.000000 0.046307
7.667679 -4.348169 1.659698 -6.007867 120.000000 0.046277
7.685552 -4.330793 1.659698 -5.990492 120.000000 0.046254
7.703426 -4.306747 1.659698 -5.966445 120.000000 0.046239
7.721299 -4.285676 1.659698 -5.945374 120.000000 0.046232
